,cy,yyyymmddhh,latns,lonew,mslp,vmax,rmax,ty,fyyyymmddhh,ftech,ftau,fverftime,flatns,flonew,e_alongtrack,e_crosstrack,e_totalerror
0,1,2011-06-28 18:00:00,20.7,-93.5,1006,18.0056,138,TS,2011-06-28 18:00:00,OFCL,0,2011-06-28 18:00:00,20.9,-93.3,-4.4478,31.1346,31.4507
1,1,2011-06-29 00:00:00,21.0,-93.9,1005,18.0056,138,TS,2011-06-28 18:00:00,OFCL,6,2011-06-29 00:00:00,21.2,-93.7,-14.0652,28.1303,31.4507
2,1,2011-06-29 06:00:00,21.2,-94.5,1003,18.0056,138,TS,2011-06-28 18:00:00,OFCL,12,2011-06-29 06:00:00,21.7,-94.6,17.9296,53.7889,56.6985
3,1,2011-06-29 18:00:00,21.4,-95.6,998,25.7222,129,TS,2011-06-28 18:00:00,OFCL,24,2011-06-29 18:00:00,22.0,-95.9,55.7506,49.5561,74.5918
4,1,2011-06-30 06:00:00,21.6,-97.0,994,28.2944,92,TS,2011-06-28 18:00:00,OFCL,36,2011-06-30 06:00:00,22.0,-96.9,-11.1195,44.478,45.8468
5,1,2011-06-30 18:00:00,21.5,-98.1,998,23.15,74,TS,2011-06-28 18:00:00,OFCL,48,2011-06-30 18:00:00,22.0,-97.9,-49.3439,33.9239,59.8803
6,1,2011-06-29 00:00:00,21.0,-93.9,1005,18.0056,138,TS,2011-06-29 00:00:00,OFCL,0,2011-06-29 00:00:00,21.2,-93.8,-3.51629,24.614,24.8639
7,1,2011-06-29 12:00:00,21.3,-95.3,1000,23.15,166,TS,2011-06-29 00:00:00,OFCL,12,2011-06-29 12:00:00,21.8,-95.1,-3.51629,59.777,59.8803
8,1,2011-06-30 00:00:00,21.6,-96.1,996,25.7222,92,TS,2011-06-29 00:00:00,OFCL,24,2011-06-30 00:00:00,22.0,-96.3,22.239,44.478,49.7279
9,1,2011-06-30 12:00:00,21.6,-97.3,993,28.2944,74,TS,2011-06-29 00:00:00,OFCL,36,2011-06-30 12:00:00,21.9,-97.4,6.89602,34.4801,35.1629
10,1,2011-06-29 06:00:00,21.2,-94.5,1003,18.0056,138,TS,2011-06-29 06:00:00,OFCL,0,2011-06-29 06:00:00,21.7,-94.6,17.9296,53.7889,56.6985
11,1,2011-06-29 18:00:00,21.4,-95.6,998,25.7222,129,TS,2011-06-29 06:00:00,OFCL,12,2011-06-29 18:00:00,22.1,-95.9,59.8803,59.8803,84.6835
12,1,2011-06-30 06:00:00,21.6,-97.0,994,28.2944,92,TS,2011-06-29 06:00:00,OFCL,24,2011-06-30 06:00:00,22.1,-97.1,11.1195,55.5975,56.6985
13,1,2011-06-30 18:00:00,21.5,-98.1,998,23.15,74,TS,2011-06-29 06:00:00,OFCL,36,2011-06-30 18:00:00,22.0,-98.2,-21.5879,52.4279,56.6985
14,1,2011-06-29 12:00:00,21.3,-95.3,1000,23.15,166,TS,2011-06-29 12:00:00,OFCL,0,2011-06-29 12:00:00,21.2,-95.3,-3.51629,-10.5489,11.1195
15,1,2011-06-30 00:00:00,21.6,-96.1,996,25.7222,92,TS,2011-06-29 12:00:00,OFCL,12,2011-06-30 00:00:00,21.2,-96.6,55.5975,-44.478,71.1995
16,1,2011-06-30 12:00:00,21.6,-97.3,993,28.2944,74,TS,2011-06-29 12:00:00,OFCL,24,2011-06-30 12:00:00,21.2,-97.7,49.6513,-38.6177,62.9013
17,1,2011-06-29 18:00:00,21.4,-95.6,998,25.7222,129,TS,2011-06-29 18:00:00,OFCL,0,2011-06-29 18:00:00,21.1,-95.8,8.25935,-39.2319,40.0919
18,1,2011-06-30 06:00:00,21.6,-97.0,994,28.2944,92,TS,2011-06-29 18:00:00,OFCL,12,2011-06-30 06:00:00,21.1,-96.9,-11.1195,-55.5975,56.6985
19,1,2011-06-30 18:00:00,21.5,-98.1,998,23.15,74,TS,2011-06-29 18:00:00,OFCL,24,2011-06-30 18:00:00,21.0,-98.0,21.5879,-52.4279,56.6985
20,1,2011-06-30 00:00:00,21.6,-96.1,996,25.7222,92,TS,2011-06-30 00:00:00,OFCL,0,2011-06-30 00:00:00,21.4,-95.8,-33.3585,-22.239,40.0919
21,1,2011-06-30 12:00:00,21.6,-97.3,993,28.2944,74,TS,2011-06-30 00:00:00,OFCL,12,2011-06-30 12:00:00,21.5,-97.0,-31.7217,-15.1712,35.1629
22,1,2011-06-30 06:00:00,21.6,-97.0,994,28.2944,92,TS,2011-06-30 06:00:00,OFCL,0,2011-06-30 06:00:00,21.6,-97.0,0.0,0.0,0.0
23,1,2011-06-30 18:00:00,21.5,-98.1,998,23.15,74,TS,2011-06-30 06:00:00,OFCL,12,2011-06-30 18:00:00,21.4,-98.3,24.6719,3.08399,24.8639
24,1,2011-06-30 12:00:00,21.6,-97.3,993,28.2944,74,TS,2011-06-30 12:00:00,OFCL,0,2011-06-30 12:00:00,21.6,-97.5,22.0673,2.75841,22.239
25,1,2011-06-30 18:00:00,21.5,-98.1,998,23.15,74,TS,2011-06-30 18:00:00,OFCL,0,2011-06-30 18:00:00,21.5,-98.1,0.0,0.0,0.0
